ticker,company_name,quarter_label,quarter_end_date,revenue,operating_profit,net_profit,eps,revenue_qoq,revenue_yoy,profit_qoq,profit_yoy,data_quality_status,fetched_at,quarter_sort_id,status,result_declared_date,updated_at
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Q2 FY25,2024-09-30,17610000000.0,770000000.0,-1750000000.0,-1.36,0.05197132616487455,-0.4541227526348419,0.18604651162790697,0.125,ok,2026-04-19T12:04:51.98958+00:00,,,,
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Q1 FY25,2024-06-30,16740000000.0,890000000.0,-2150000000.0,-1.59,0.06285714285714286,-0.4762202753441802,0.19172932330827067,-0.3271604938271605,ok,2026-04-19T12:04:51.808234+00:00,,,,
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,Q4 FY26,2026-03-31,21740000000.0,3520000000.0,550000000.0,0.45,-0.07212974818608621,0.11946446961894953,-0.2028985507246377,0.4473684210526316,DECLARED,2026-05-21T12:32:13.725756+00:00,202604.0,announced_with_numbers,2026-06-16,2026-06-16T18:10:17.290632
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,Q3 FY26,2025-12-31,23430000000.0,4120000000.0,690000000.0,0.57,0.14965652600588814,0.09588400374181479,2.0,0.15,ok,2026-05-11T17:55:44.025392+00:00,,,,
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,Q2 FY26,2025-09-30,20380000000.0,3170000000.0,230000000.0,0.19,0.10700706137968495,0.0371501272264631,-0.041666666666666664,9999.0,ok,2026-05-11T17:55:43.824684+00:00,,,,
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,Q1 FY26,2025-06-30,18410000000.0,2630000000.0,240000000.0,0.2,-0.052008238928939236,0.03195067264573991,-0.3684210526315789,0.043478260869565216,ok,2026-05-11T17:55:43.611047+00:00,,,,
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,Q4 FY25,2025-03-31,19420000000.0,3090000000.0,380000000.0,,-0.09167446211412535,,-0.36666666666666664,,ok,2026-05-11T17:55:43.387335+00:00,,,,
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,Q3 FY25,2024-12-31,21380000000.0,3330000000.0,600000000.0,,0.08804071246819338,,9999.0,,ok,2026-05-11T17:55:43.181232+00:00,,,,
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,Q2 FY25,2024-09-30,19650000000.0,2810000000.0,-590000000.0,,,,,,ok,2026-05-11T17:55:42.967526+00:00,,,,
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,Q1 FY25,2024-06-30,17840000000.0,2790000000.0,230000000.0,,,,,,ok,2026-05-11T17:55:42.764753+00:00,,,,
ABREL.NS,Aditya Birla Real Estate Limited,Q4 FY26,2026-03-31,826100000.0,-1655600000.0,53900000.0,0.97,0.01774054453615868,-0.7907336102948627,9999.0,9999.0,DECLARED,2026-05-20T18:06:09.391636+00:00,202604.0,announced_with_numbers,2026-06-16,2026-06-16T18:10:17.290632
ABREL.NS,Aditya Birla Real Estate Limited,Q3 FY26,2025-12-31,811700000.0,-906400000.0,-753100000.0,-6.52,-0.1703802125919869,-0.9151562663321835,-3.2261503928170594,-0.7774368657068681,ok,2026-05-11T06:23:56.873528+00:00,,,,
ABREL.NS,Aditya Birla Real Estate Limited,Q2 FY26,2025-09-30,978400000.0,-737600000.0,-178200000.0,-1.41,-0.3278373179444902,-0.9132285643336053,0.3419497784342688,-9999.0,ok,2026-05-11T06:23:56.641016+00:00,,,,
ABREL.NS,Aditya Birla Real Estate Limited,Q1 FY26,2025-06-30,1455600000.0,-423900000.0,-270800000.0,-2.28,-0.6312696321815787,-0.8733423827921061,0.7997041420118344,-9999.0,ok,2026-05-11T06:23:56.399901+00:00,,,,
ABREL.NS,Aditya Birla Real Estate Limited,Q4 FY25,2025-03-31,3947600000.0,-306300000.0,-1352000000.0,-11.73,-0.5873732622556705,-0.765843357771609,-2.1909369837148924,-9999.0,ok,2026-05-11T06:23:56.165489+00:00,,,,
ABREL.NS,Aditya Birla Real Estate Limited,Q3 FY25,2024-12-31,9567000000.0,-479900000.0,-423700000.0,-3.15,-0.15153073894072155,-0.10609670637701471,-9999.0,-9999.0,ok,2026-05-11T17:55:45.963576+00:00,,,,
ABREL.NS,Aditya Birla Real Estate Limited,Q2 FY25,2024-09-30,11275600000.0,264600000.0,28200000.0,1.09,-0.018864640980125996,0.3066645034939103,-0.837463976945245,9999.0,ok,2026-05-11T17:55:46.45431+00:00,,,,
ABREL.NS,Aditya Birla Real Estate Limited,Q1 FY25,2024-06-30,11492400000.0,580500000.0,173500000.0,1.65,-0.3183144707808385,0.28482788690509464,-0.15939922480620156,9999.0,ok,2026-05-11T17:55:47.074706+00:00,,,,
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Q4 FY26,2026-03-31,4580000000.0,2660000000.0,1870000000.0,6.48,-0.04184100418410042,0.0675990675990676,-0.3074074074074074,-0.17982456140350878,DECLARED,2026-05-07T17:19:02.051195+00:00,202604.0,announced_with_numbers,2026-06-16,2026-06-16T18:10:17.290632
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Q3 FY26,2025-12-31,4780000000.0,2900000000.0,2700000000.0,9.33,0.0368763557483731,0.07389184695917864,0.12033195020746888,0.2028333407582305,ok,2026-05-07T17:19:01.811472+00:00,,,,
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Q2 FY26,2025-09-30,4610000000.0,2830000000.0,2410000000.0,8.36,0.03131991051454139,0.08672591405200254,-0.1299638989169675,-0.005529421473962202,ok,2026-05-07T17:19:01.570312+00:00,,,,
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Q1 FY26,2025-06-30,4470000000.0,2660000000.0,2770000000.0,9.6,0.04195804195804196,0.1561740210025348,0.2149122807017544,0.17517288193118663,ok,2026-05-07T17:19:01.327724+00:00,,,,
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Q4 FY25,2025-03-31,4290000000.0,2440000000.0,2280000000.0,7.91,-0.03619330053245265,0.17350986131247093,0.015725932195839086,0.09415490930031672,ok,2026-05-07T17:19:01.089279+00:00,,,,
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Q3 FY25,2024-12-31,4451100000.0,2999000000.0,2244700000.0,7.78,0.04926805120105608,0.30530791788856304,-0.07373937443261533,0.07401913875598086,ok,2026-05-11T17:55:49.278287+00:00,,,,
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Q2 FY25,2024-09-30,4242100000.0,3350900000.0,2423400000.0,8.41,0.09722725156484403,0.3640192926045016,0.028127784141529846,0.30994594594594593,ok,2026-05-11T17:55:49.824952+00:00,,,,
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Q1 FY25,2024-06-30,3866200000.0,3045100000.0,2357100000.0,8.18,0.05758131137675411,0.24315112540192926,0.1311546213648143,0.2741081081081081,ok,2026-05-11T17:55:50.253402+00:00,,,,
ACC.NS,ACC Limited,Q4 FY26,2026-03-31,71460000000.0,6260000000.0,2380000000.0,12.69,0.1022674687644609,0.1686017988552739,-0.41089108910891087,-0.6830892143808256,DECLARED,2026-06-05T17:29:10.964637+00:00,202604.0,announced_with_numbers,2026-06-16,2026-06-16T18:10:17.290632
ACC.NS,ACC Limited,Q3 FY26,2025-12-31,64830000000.0,7000000000.0,4040000000.0,21.52,0.07960033305578684,0.24498539547442144,-0.6389633601429848,-0.629965469550005,ok,2026-05-11T06:24:02.185238+00:00,,,,
ACC.NS,ACC Limited,Q2 FY26,2025-09-30,60050000000.0,8460000000.0,11190000000.0,59.6,-0.013471332347626088,0.3016091834434445,1.984,4.603405107661493,ok,2026-05-11T06:24:01.953368+00:00,,,,
ACC.NS,ACC Limited,Q1 FY26,2025-06-30,60870000000.0,7780000000.0,3750000000.0,19.99,-0.004578904333605887,0.1808205412724617,-0.5006657789613849,0.03763143331488655,ok,2026-05-11T06:24:01.720981+00:00,,,,
