Date,Close,gmm_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,gmm_regime,numeric_regime,smoothed_numeric_regime,smoothed_regime
2023-01-20,18027.650390625,1,0.31868322487768064,0.623003153684735,0.058313621437583674,Risk-Off,0,0,Risk-Off
2023-01-23,18118.55078125,1,0.10890180603522309,0.732300768589855,0.15879742537492197,Risk-Off,0,0,Risk-Off
2023-01-24,18118.30078125,1,0.27453686018215784,0.6864648479638215,0.038998291854020206,Risk-Off,0,0,Risk-Off
2023-01-25,17891.94921875,1,0.10545234445156187,0.8865322690667959,0.008015386481641512,Risk-Off,0,0,Risk-Off
2023-01-27,17604.349609375,1,0.0011135674726770772,0.9988822360828916,4.1964444309693e-06,Risk-Off,0,0,Risk-Off
2023-01-30,17648.94921875,0,0.9726416802976268,0.026499304972486336,0.0008590147298866068,Neutral,1,1,Neutral
2023-01-31,17662.150390625,0,0.765810596607974,0.23094364857574343,0.0032457548162827523,Neutral,1,1,Neutral
2023-02-01,17616.30078125,0,0.9870456719038341,0.012954328096165658,1.6560557054745542e-15,Neutral,1,1,Neutral
2023-02-02,17610.400390625,0,0.9680425488020532,0.03195730247532924,1.4872261795717745e-07,Neutral,1,1,Neutral
2023-02-03,17854.05078125,0,0.9999991030506717,8.877366910815683e-07,9.212637091686338e-09,Neutral,1,1,Neutral
2023-02-06,17764.599609375,1,0.19524785868969205,0.804739994038329,1.2147271978818679e-05,Risk-Off,0,0,Risk-Off
2023-02-07,17721.5,1,0.3967994288537034,0.6031347850145438,6.578613175313424e-05,Risk-Off,0,0,Risk-Off
2023-02-08,17871.69921875,0,0.8721334113686953,0.12783989740045096,2.669123085369579e-05,Neutral,1,1,Neutral
2023-02-09,17893.44921875,1,0.39858827261960567,0.6013708928293029,4.083455109188731e-05,Risk-Off,0,0,Risk-Off
2023-02-10,17856.5,1,0.33271506290082853,0.6672421563193777,4.2780779793301356e-05,Risk-Off,0,0,Risk-Off
2023-02-13,17770.900390625,1,0.2801053953007281,0.719700607692768,0.00019399700650405988,Risk-Off,0,0,Risk-Off
2023-02-14,17929.849609375,0,0.7958290212751571,0.20395240380822735,0.0002185749166156805,Neutral,1,1,Neutral
2023-02-15,18015.849609375,0,0.5699723451455151,0.4288075856117098,0.0012200692427746978,Neutral,1,1,Neutral
2023-02-16,18035.849609375,1,0.46394790052953844,0.5342034567616144,0.0018486427088464394,Risk-Off,0,0,Risk-Off
2023-02-17,17944.19921875,1,0.2590050044739386,0.725900755319166,0.01509424020689495,Risk-Off,0,0,Risk-Off
2023-02-20,17844.599609375,1,0.20664624462158807,0.765141279334675,0.028212476043736178,Risk-Off,0,0,Risk-Off
2023-02-21,17826.69921875,1,0.2724001495996303,0.7172367510373879,0.010363099362981937,Risk-Off,0,0,Risk-Off
2023-02-22,17554.30078125,1,0.08927572835312506,0.9101186036405714,0.0006056680063030314,Risk-Off,0,0,Risk-Off
2023-02-23,17511.25,1,0.2563056131263941,0.7436021377489994,9.224912460626135e-05,Risk-Off,0,0,Risk-Off
2023-02-24,17465.80078125,1,0.2037828844178718,0.7955728968768743,0.0006442187052541623,Risk-Off,0,0,Risk-Off
2023-02-27,17392.69921875,1,0.18994029545069058,0.8100266525743791,3.3051974929945306e-05,Risk-Off,0,0,Risk-Off
2023-02-28,17303.94921875,1,0.21092538161663738,0.7890685277782309,6.0906051317903595e-06,Risk-Off,0,0,Risk-Off
2023-03-01,17450.900390625,0,0.7099798838043551,0.28954171323320255,0.00047840296244273435,Neutral,1,1,Neutral
2023-03-02,17321.900390625,0,0.8554704769731045,0.14452952302682676,6.76946530303155e-14,Neutral,1,1,Neutral
2023-03-03,17594.349609375,0,0.9998859131045337,0.000103070741440696,1.101615402540612e-05,Neutral,1,1,Neutral
2023-03-06,17711.44921875,0,0.9868092395938004,0.013180458786563605,1.0301619635545292e-05,Neutral,1,1,Neutral
2023-03-08,17754.400390625,0,0.560553693370027,0.43689014915973995,0.0025561574702324644,Neutral,1,1,Neutral
2023-03-09,17589.599609375,1,0.3626555479461323,0.6362336594066336,0.0011107926472338435,Risk-Off,0,0,Risk-Off
2023-03-10,17412.900390625,1,0.09223665335970929,0.8952415707105471,0.012521775929743482,Risk-Off,0,0,Risk-Off
2023-03-13,17154.30078125,1,0.005325409274541409,0.9946651625805479,9.428144910662935e-06,Risk-Off,0,0,Risk-Off
2023-03-14,17043.30078125,1,0.09492531433971087,0.9050690059415368,5.679718751533571e-06,Risk-Off,0,0,Risk-Off
2023-03-15,16972.150390625,1,0.19294970409796075,0.8070339091970274,1.6386705011339854e-05,Risk-Off,0,0,Risk-Off
2023-03-16,16985.599609375,0,0.8533950346738578,0.14660234263237418,2.622693768324493e-06,Neutral,1,1,Neutral
2023-03-17,17100.05078125,0,0.9986233505014516,0.0013738037937613854,2.845704787845719e-06,Neutral,1,1,Neutral
2023-03-20,16988.400390625,1,0.09481366105843661,0.9051736982370289,1.2640704534196782e-05,Risk-Off,0,0,Risk-Off
2023-03-21,17107.5,0,0.5804600485827254,0.4194914434872292,4.850793004562682e-05,Neutral,1,1,Neutral
2023-03-22,17151.900390625,1,0.0521027835864706,0.9476584002246639,0.00023881618886520902,Risk-Off,0,0,Risk-Off
2023-03-23,17076.900390625,1,0.18591637874125533,0.8140134908624554,7.013039628984222e-05,Risk-Off,0,0,Risk-Off
2023-03-24,16945.05078125,1,0.1412488644025807,0.8587321466197847,1.8988977634430518e-05,Risk-Off,0,0,Risk-Off
2023-03-27,16985.69921875,1,0.3739900418871284,0.6259831744002444,2.6783712627033343e-05,Risk-Off,0,0,Risk-Off
2023-03-28,16951.69921875,1,0.24941286063323745,0.7505695209121942,1.7618454567473943e-05,Risk-Off,0,0,Risk-Off
2023-03-29,17080.69921875,0,0.9935831293768426,0.006412672927072181,4.197696085307648e-06,Neutral,1,1,Neutral
2023-03-31,17359.75,0,0.9995083838800495,0.00047855477216016086,1.306134778991997e-05,Neutral,1,1,Neutral
2023-04-03,17398.05078125,0,0.5608653401097491,0.43899684107388276,0.00013781881636800613,Neutral,1,1,Neutral
2023-04-05,17557.05078125,0,0.9661937792465725,0.03353955937805011,0.00026666137537722357,Neutral,1,1,Neutral
2023-04-06,17599.150390625,0,0.7650750586830513,0.23470245069639367,0.0002224906205547887,Neutral,1,1,Neutral
2023-04-10,17624.05078125,0,0.8920072835849053,0.10772372560363555,0.0002689908114591073,Neutral,1,1,Neutral
2023-04-11,17722.30078125,0,0.9961944657266572,0.00377035348167451,3.518079166809392e-05,Neutral,1,1,Neutral
2023-04-12,17812.400390625,0,0.744275313751256,0.25025076770894744,0.005473918539796626,Neutral,1,1,Neutral
2023-04-13,17828.0,0,0.9311716821736236,0.06790943090730427,0.0009188869190719995,Neutral,1,1,Neutral
2023-04-17,17706.849609375,0,0.7394290818278824,0.2605092103397062,6.170783241122647e-05,Neutral,1,1,Neutral
2023-04-18,17660.150390625,0,0.5020566634898612,0.4951095232955636,0.002833813214575766,Neutral,1,1,Neutral
2023-04-19,17618.75,0,0.5649154875596248,0.4346418774454092,0.0004426349949665919,Neutral,1,1,Neutral
2023-04-20,17624.44921875,1,0.3647222842806881,0.6329386807325303,0.002339034986782121,Risk-Off,0,0,Risk-Off
2023-04-21,17624.05078125,1,0.41690570672162097,0.5782386263585702,0.0048556669198085494,Risk-Off,0,0,Risk-Off
2023-04-24,17743.400390625,0,0.8702411523113894,0.12629217487190447,0.0034666728167064187,Neutral,1,1,Neutral
2023-04-25,17769.25,0,0.9327719368881636,0.04755773110291384,0.01967033200892178,Neutral,1,1,Neutral
2023-04-26,17813.599609375,2,0.23681244827867656,0.23407877173936487,0.5291087799819595,Risk-On,2,2,Risk-On
2023-04-27,17915.05078125,2,0.2779355729921829,0.10977010808024606,0.6122943189275709,Risk-On,2,2,Risk-On
2023-04-28,18065.0,2,0.36604407163936603,0.00037569780900842316,0.6335802305516257,Risk-On,2,2,Risk-On
2023-05-02,18147.650390625,2,0.31647865947512066,0.028344942237145242,0.6551763982877341,Risk-On,2,2,Risk-On
2023-05-03,18089.849609375,2,0.08053262741067393,0.1198681258053839,0.7995992467839421,Risk-On,2,2,Risk-On
2023-05-04,18255.80078125,2,0.05137898820175292,0.009769717253398126,0.9388512945448492,Risk-On,2,2,Risk-On
